contestant_id,season_number,age,age_n,hometown_city,hometown_state,Lat,Lng,Wins,Wins_n,High,High_n,Safe,Safe_n,Low,Low_n,Bottom,Bottom_n,Number_of_Episodes,season_outcome,Label
105,9,52,-0.48700173310225303,Boston,Massachusetts,42.3188,-71.0846,0,-1.0,0,-1.0,2,0.33333333333333326,1,0.0,0,-1.0,4,12,5
106,9,23,-0.9432409012131716,Las Vegas,Nevada,36.2333,-115.2654,0,-1.0,1,-0.625,3,0.0,2,0.0,1,-0.625,8,8,4
107,9,29,-0.9722703639514731,Brooklyn,New York,40.6501,-73.9496,2,-0.23076923076923073,5,0.15384615384615397,4,-0.1794871794871794,1,-0.6923076923076923,0,-1.0,13,1,1
108,9,32,-0.9417047423979833,New York,New York,40.6943,-73.9249,1,-0.5454545454545454,2,-0.4545454545454545,4,-0.030303030303030276,2,-0.2727272727272727,1,-0.7272727272727273,11,5,2
109,9,27,-0.9792027729636048,Chicago,Illinois,41.8373,-87.6862,4,0.5384615384615385,3,-0.3076923076923076,4,-0.1794871794871794,0,-1.0,1,-0.7692307692307692,13,3,2
110,9,31,-0.9653379549393414,Orlando,Florida,28.4772,-81.3369,3,0.15384615384615374,2,-0.5384615384615384,4,-0.1794871794871794,2,-0.3846153846153846,1,-0.7692307692307692,13,3,2
111,9,27,-0.6672443674176776,Las Vegas,Nevada,36.2333,-115.2654,0,-1.0,0,-1.0,1,-0.11111111111111116,0,-1.0,1,0.0,3,13,5
112,9,26,-0.48700173310225303,Milwaukee,Wisconsin,43.0642,-87.9673,0,-1.0,0,-1.0,1,0.33333333333333326,0,-1.0,0,-1.0,2,14,5
113,9,34,-0.9195840554592721,Riverdale,Georgia,33.564,-84.4103,1,-0.5,1,-0.7,4,0.06666666666666665,1,-0.6,2,-0.3999999999999999,10,6,3
114,9,22,-0.931171081950978,Brooklyn,New York,40.6501,-73.9496,0,-1.0,1,-0.5714285714285714,4,0.5238095238095237,0,-1.0,1,-0.5714285714285714,7,9,4
115,9,35,-0.75736568457539,Austin,Texas,30.3004,-97.7522,0,-1.0,0,-1.0,3,0.5999999999999999,0,-1.0,1,-0.3999999999999999,5,10,4
116,10,27,-0.9792027729636048,Johnson City,Tennessee,36.3406,-82.3803,2,-0.23076923076923073,4,-0.07692307692307687,4,-0.1794871794871794,0,-1.0,2,-0.5384615384615384,13,2,1
117,10,35,-0.951473136915078,Dallas,Texas,32.7936,-96.7662,2,-0.23076923076923073,2,-0.5384615384615384,5,0.025641025641025772,2,-0.3846153846153846,1,-0.7692307692307692,13,4,2
118,10,33,-0.9376083188908145,New York,New York,40.6943,-73.9249,1,-0.5454545454545454,4,0.09090909090909105,3,-0.2727272727272728,2,-0.2727272727272727,0,-1.0,11,5,2
119,10,27,-0.6672443674176776,New York,New York,40.6943,-73.9249,0,-1.0,1,0.0,1,-0.11111111111111116,0,-1.0,0,-1.0,3,12,5
120,10,22,-0.9075678798382438,Indianapolis,Indiana,39.7771,-86.1458,0,-1.0,3,0.5,2,-0.11111111111111116,0,-1.0,0,-1.0,6,9,4
121,10,27,-0.962186859933827,Bronx,New York,40.8501,-73.8662,0,-1.0,5,0.36363636363636376,2,-0.5151515151515151,0,-1.0,2,-0.4545454545454545,11,6,3
122,10,31,-0.9653379549393414,Nashville,Tennessee,36.1715,-86.7843,1,-0.6153846153846154,3,-0.3076923076923076,4,-0.1794871794871794,1,-0.6923076923076923,3,-0.3076923076923076,13,2,1
123,10,35,-0.75736568457539,Riverside,California,33.9381,-117.3948,1,0.0,1,-0.3999999999999999,1,-0.4666666666666667,0,-1.0,1,-0.3999999999999999,5,10,4
124,10,27,-0.4644714038128249,Albuquerque,New Mexico,35.1053,-106.6464,0,-1.0,0,-1.0,0,-1.0,0,-1.0,1,0.5,2,13,5
125,10,31,-0.8732359494924486,Kansas City,Missouri,39.1239,-94.5541,0,-1.0,1,-0.5714285714285714,4,0.5238095238095237,1,-0.4285714285714286,0,-1.0,7,8,3
126,10,29,-0.7461005199306758,New York,New York,40.6943,-73.9249,0,-1.0,0,-1.0,2,0.33333333333333326,1,0.0,0,-1.0,4,11,4
127,10,26,-0.9263431542461005,Chicago,Illinois,41.8373,-87.6862,1,-0.375,0,-1.0,3,0.0,1,-0.5,2,-0.25,8,7,3
128,10,25,0.05372616984402079,Tampa,Florida,27.9942,-82.4451,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,1,14,5
129,10,21,-1.0,Brooklyn,New York,40.6501,-73.9496,3,0.15384615384615374,1,-0.7692307692307692,6,0.23076923076923084,2,-0.3846153846153846,0,-1.0,13,1,1
130,11,26,-0.975158867706528,Tampa,Florida,27.9942,-82.4451,0,-1.0,3,-0.25,4,-0.11111111111111116,2,-0.33333333333333337,2,-0.5,12,5,2
131,11,39,-0.9130297778478021,Columbus,Ohio,39.9862,-82.985,2,-0.09090909090909094,1,-0.7272727272727273,4,-0.030303030303030276,3,0.09090909090909083,0,-1.0,11,6,2
132,11,40,-0.8925476603119584,New York,New York,40.6943,-73.9249,0,-1.0,3,-0.09999999999999998,3,-0.20000000000000007,1,-0.6,2,-0.3999999999999999,10,7,3
133,11,21,-0.9676487579433853,Southlake,Texas,32.9545,-97.1503,1,-0.44444444444444453,3,0.0,3,-0.11111111111111116,0,-1.0,1,-0.6666666666666667,9,8,3
134,11,31,-0.7235701906412478,Minneapolis,Minnesota,44.9635,-93.2678,0,-1.0,1,-0.25,0,-1.0,1,0.0,1,-0.25,4,12,4
135,11,26,-0.877527440785673,Brooklyn,New York,40.6501,-73.9496,1,-0.16666666666666674,0,-1.0,3,0.33333333333333326,0,-1.0,1,-0.5,6,10,4
136,11,32,-0.5921432697862508,New York,New York,40.6943,-73.9249,0,-1.0,0,-1.0,2,0.7777777777777777,0,-1.0,0,-1.0,3,13,5
137,11,30,-0.9688041594454073,Dallas,Texas,32.7936,-96.7662,2,-0.23076923076923073,2,-0.5384615384615384,6,0.23076923076923084,0,-1.0,2,-0.5384615384615384,13,4,2
138,11,24,-0.9896013864818024,Denver,Colorado,39.7621,-104.8759,1,-0.6153846153846154,5,0.15384615384615397,4,-0.1794871794871794,1,-0.6923076923076923,1,-0.7692307692307692,13,1,1
139,11,28,-0.975736568457539,Chicago,Illinois,41.8373,-87.6862,2,-0.23076923076923073,3,-0.3076923076923076,4,-0.1794871794871794,2,-0.3846153846153846,1,-0.7692307692307692,13,3,1
140,11,32,-0.9618717504332756,Nashville,Tennessee,36.1715,-86.7843,3,0.15384615384615374,6,0.3846153846153848,0,-1.0,1,-0.6923076923076923,2,-0.5384615384615384,13,2,1
141,11,26,-0.838474870017331,Cherry Hill,New Jersey,39.9384,-75.0117,0,-1.0,1,-0.3999999999999999,2,0.06666666666666665,1,-0.19999999999999996,0,-1.0,5,11,4
142,11,33,-0.8603614756127754,Dallas,Texas,32.7936,-96.7662,0,-1.0,0,-1.0,3,0.1428571428571428,0,-1.0,3,0.2857142857142858,7,9,3
143,11,25,-0.5095320623916811,Las Vegas,Nevada,36.2333,-115.2654,0,-1.0,0,-1.0,0,-1.0,0,-1.0,1,0.5,2,14,5
144,11,27,0.143847487001733,Chicago,Illinois,41.8373,-87.6862,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,1,15,5
145,12,32,-0.9526285384170999,Milwaukee,Wisconsin,43.0642,-87.9673,3,0.25,3,-0.25,4,-0.11111111111111116,0,-1.0,1,-0.75,12,1,1
146,12,28,-0.9676487579433853,Springfield,Missouri,37.1943,-93.2916,1,-0.5833333333333334,4,0.0,3,-0.33333333333333337,2,-0.33333333333333337,1,-0.75,12,2,1
147,12,21,-0.9939341421143848,Los Angeles,California,34.1139,-118.4068,4,0.6666666666666665,2,-0.5,3,-0.33333333333333337,2,-0.33333333333333337,0,-1.0,12,3,2
149,12,34,-0.9335118953836459,New York,New York,40.6943,-73.9249,0,-1.0,6,0.6363636363636362,1,-0.7575757575757576,1,-0.6363636363636364,2,-0.4545454545454545,11,5,3
150,12,24,-0.9646447140381282,Ramseur,North Carolina,35.7372,-79.6543,1,-0.5,2,-0.3999999999999999,2,-0.4666666666666667,1,-0.6,3,-0.09999999999999998,10,6,3
151,12,30,-0.9038128249566725,Kansas City,Missouri,39.1239,-94.5541,1,-0.375,1,-0.625,4,0.33333333333333326,0,-1.0,1,-0.625,8,7,3
152,12,26,-0.9054221341916315,New York,New York,40.6943,-73.9249,0,-1.0,3,0.2857142857142858,3,0.1428571428571428,0,-1.0,0,-1.0,7,8,4
153,12,34,-0.8174465626805315,New York,New York,40.6943,-73.9249,0,-1.0,1,-0.5,1,-0.5555555555555556,1,-0.33333333333333337,2,0.0,6,9,4
154,12,29,-0.8114384748700174,Acworth,Georgia,34.0566,-84.6715,0,-1.0,2,0.20000000000000018,1,-0.4666666666666667,1,-0.19999999999999996,0,-1.0,5,10,5
155,12,28,-0.75736568457539,New York,New York,40.6943,-73.9249,0,-1.0,1,-0.25,0,-1.0,1,0.0,1,-0.25,4,11,5
156,12,28,-0.6522241478913922,San Francisco,California,37.7562,-122.443,0,-1.0,0,-1.0,1,-0.11111111111111116,1,0.33333333333333326,0,-1.0,3,12,5
157,12,28,-0.4419410745233969,Los Angeles,California,34.1139,-118.4068,0,-1.0,0,-1.0,0,-1.0,1,1.0,0,-1.0,2,13,5
